,#,Address,File #,Type,Status,Date Issued,Date Closed,Description
81,82,259 Grange Rd,14 004416 000 00 CL,Complaint By-Law,Closed,"May 29, 2014","Jun 10, 2014",Multiple mobile sign infractions
82,83,259 Grange Rd,14 006158 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 21, 2014","Jan 26, 2015","Minor interior renovation- Re-locate service counter -Unit 2 -Planet Bean. Minor plumbing, no HVAC."
83,84,259 Grange Rd,15 000857 000 00 CC,Committee Of Adjustment - Consent,Withdrawn,"Jan 06, 2016",Consent for severance as a lot addition,
84,85,259 Grange Rd,17 004719 000 00 CL,Complaint By-Law,Closed,"Jul 13, 2017","Jul 14, 2017",possible mobile sign no permit - Active Therapeutic Solutions
85,86,259 Grange Rd,18 000766 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2018","Apr 24, 2018",possible portable sign no permit -  Smitten Apparel
86,87,259 Grange Rd,18 000767 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2018","Apr 24, 2018",possible portable sign no permit -  Buck or Two
87,88,259 Grange Rd,18 000768 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2018","Apr 24, 2018",possible portable sign no permit -  Stay Fit
88,89,259 Grange Rd,18 000769 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2018","Feb 28, 2018",possible portable sign no permit -  Chartellis Fine Wines
89,90,259 Grange Rd,18 001150 000 00 SM,Temporary Sign Permit,Closed,"Feb 28, 2018","Mar 17, 2020",2018 Portable Sign - Chartelli Wines Inc
90,91,259 Grange Rd,18 001317 000 00 PH,Mechanical Permit,Closed,"Mar 07, 2018","Aug 27, 2018","1 Backflow Prevention Device - 1/2"" DCVA for Ice Maker @ Champions Pub (Unit 4)"
91,92,259 Grange Rd,18 001324 000 00 PH,Mechanical Permit,Closed,"Mar 07, 2018","Mar 15, 2018","1/2"" DCVA protection for Ice Maker @ Bamboo Sushi (Unit 15)"
92,93,259 Grange Rd,18 001406 000 00 CL,Complaint By-Law,Closed,"Mar 08, 2018","Apr 10, 2018",possible multiple portable signs -  Chartellis
93,94,259 Grange Rd,18 004758 000 00 PS,Special Categories - Building Permit,Closed,"Aug 10, 2018","Oct 11, 2018","Convert existing single door to double door.  (No HVAC, No PLBG.) -Unit 4"
94,95,259 Grange Rd,18 006245 000 00 CL,Complaint By-Law,Closed,"Sep 11, 2018","Mar 17, 2020",possible portable sign no permit - Everything Fitness
95,96,259 Grange Rd,22 001314 000 00 BPR,ICI Renovation,Issued,"Apr 22, 2022",Interior Alterations with new demising wall & partition walls in Unit 1C (No HVAC No PLBG) - Chartelli's Wine (Unit 1D),
0,1,328 Speedvale Ave E,87 026317 000 00 PT,Tenant Finishes - Building Permit,Closed,"Oct 02, 1987","May 08, 1996",Animal Hospital
1,2,328 Speedvale Ave E,89 031363 000 00 PT,Tenant Finishes - Building Permit,Closed,"Sep 01, 1989","Sep 03, 1997",Opus One
2,3,328 Speedvale Ave E,93 000294 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 12, 1993","Mar 26, 1996",Expand Into Next Unit -restaurant-unit 33 Part 34
3,4,328 Speedvale Ave E,95 000029 000 00 PT,Tenant Finishes - Building Permit,Closed,"Mar 06, 1995","Sep 03, 1997",Interior Alterations-expand Into Unit 33-opus One Music
4,5,328 Speedvale Ave E,96 033663 000 00 SS,Sign Permit,Closed,"Oct 07, 1996","Jan 07, 1997",2-non-illum. signs for 7 -Eleven
5,6,328 Speedvale Ave E,96 034699 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 30, 1996","Nov 14, 1996",Inter. Partitions for two small offices -Opus I
6,7,328 Speedvale Ave E,98 108405 000 00 PS,Special Categories - Building Permit,Closed,"Oct 13, 1998","Oct 01, 1999",Demising wall between Units 26 & 27 (includes plbg repairing hot water tank)
7,8,328 Speedvale Ave E,99 005997 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 02, 1999","Apr 05, 2002","Interior Renovations - Unit 31-33; Fashion MaxRemove partitions, t-bar ceiling, drywall/htg diffusers."
8,9,328 Speedvale Ave E,99 008738 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 26, 1999","Feb 21, 2000",Interior Renovations - Unit 30; Kelly's Ale House & Grill(includes plbg) no HVAC
9,10,328 Speedvale Ave E,99 011637 000 00 PH,Mechanical Permit,Closed,"Sep 09, 1999","Oct 18, 1999",HVAC System and Kitchen Exhaust System
10,11,328 Speedvale Ave E,03 053116 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 05, 2003","Mar 03, 2003","Renovation to install new entrance door & relocated cooler (Minor Plumbing, Minor HVAC)(Unit 26 - 328 Speedvale Ave. E.) Ray's Flowers"
11,12,328 Speedvale Ave E,04 067646 000 00 PR,ICI Renovation - Building Permit,Closed,"May 10, 2004","Oct 26, 2004","Interior Renovations (No HVAC, No Plumbing).Unit #23 - 328 Speedvale East - Music School."
12,13,328 Speedvale Ave E,05 077579 000 00 PR,ICI Renovation - Building Permit,Closed,"May 03, 2005","Jun 01, 2005","Interior renovations, minor plumbing & HVAC  (Unit 21-328 Speedvale E) Medicine Shoppe"
13,14,328 Speedvale Ave E,07 004134 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 03, 2007","Apr 02, 2008","Interior renovations-partition wall(storage room), minor plbg (No HVAC,) (Unit 30) What's in the Pantry"
14,15,328 Speedvale Ave E,08 009582 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 29, 2008","Mar 24, 2009","Interior Renovation (No HVAC, Minor plumbing)-328 Speedvale E-Unit 23- Nail Salon"
15,16,328 Speedvale Ave E,10 000320 000 00 PS,Special Categories - Building Permit,Closed,"Feb 10, 2010","Mar 12, 2010",Construct Demising Wall Between Units 30 & 30A.
16,17,328 Speedvale Ave E,10 000348 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 16, 2010","Apr 08, 2010",Interior Renovations ( Includes Plumbing & HVAC ) - Unit 30 - Baskin Robbins.( See Permit #10-000320 PS for Demising Wall )
17,18,328 Speedvale Ave E,10 001480 000 00 SS,Sign Permit,Closed,"Mar 18, 2010","Jun 22, 2010",Building sign for Baskin Robbins (Unit 30)
18,19,328 Speedvale Ave E,10 004968 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 12, 2010","Nov 03, 2010","Interior Renovations (Includes HVAC, Plbg.) -Hibachi Sushi (Unit 28)"
19,20,328 Speedvale Ave E,10 006599 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 22, 2010","Dec 07, 2010","Interior Renovations ( Minor Plbg.) -UPS Store (Unit 31A)- New demising wall, w/r partition wall, new ceiling"
20,21,328 Speedvale Ave E,10 007901 000 00 PH,Mechanical Permit,Closed,"Dec 13, 2010","Feb 13, 2012","2 Backflow Devices (2- DCVA -Unit 21-Baskin Robbins, Unit 28-Hibachi Sushi"
21,22,328 Speedvale Ave E,10 007928 000 00 PH,Mechanical Permit,Closed,"Dec 01, 2010","Feb 15, 2011",New HVAC System-UPS Store (Unit 31A)
22,23,328 Speedvale Ave E,10 008120 000 00 SS,Sign Permit,Closed,"Dec 14, 2010","Mar 14, 2011",Building signs for UPS Store
23,24,328 Speedvale Ave E,11 000059 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 18, 2011","Mar 15, 2011","Interior Renovations ( No Plbg., No HVAC) -UPS Store (Unit 31A)(Demising Wall & Plbg see #10-6599,    HVAC see #10-7928)"
24,25,328 Speedvale Ave E,11 001120 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 24, 2011","Dec 02, 2011",Interior renovations (Includes Plbg & HVAC) Unit 31 -Wing's Up
25,26,328 Speedvale Ave E,11 003389 000 00 SS,Sign Permit,Closed,"Jun 17, 2011","Sep 13, 2011",Building Sign for Ray's Flowers
26,27,328 Speedvale Ave E,11 004250 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 17, 2011","Jan 19, 2012",Interior renovations expand into Unit 26 (Includes Plbg & HVAC) - Cornell Animal Hospital (Unit 24)
27,28,328 Speedvale Ave E,11 005364 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 22, 2011","Oct 21, 2011","Interior Renovations -new Demising Wall, new B/F washrooms -Unit 21A & 21B (Includes Plbg & HVAC) -New Tenant space/Administration Office"
28,29,328 Speedvale Ave E,11 007633 000 00 PH,Mechanical Permit,Closed,"Oct 07, 2011","Oct 14, 2011",New HVAC System - Unit 21A (vacant)
29,30,328 Speedvale Ave E,12 006063 000 00 CI,Property Inspection,Closed,"May 28, 2012","Jun 29, 2012",investigate car damage to store front - Unit 34
30,31,328 Speedvale Ave E,12 006594 000 00 PH,Mechanical Permit,Closed,"Jun 11, 2012","Jun 25, 2012",1 Backflow Prevention Device - DCVA for ice machine - Baskin Robbins (Unit 30A)
31,32,328 Speedvale Ave E,14 002582 000 00 SS,Sign Permit,Closed,"Apr 22, 2014","Feb 25, 2016",Building Sign for Great Clips
32,33,328 Speedvale Ave E,14 003460 000 00 PH,Mechanical Permit,Closed,"Jun 03, 2014","Nov 07, 2014",Kitchen Exhaust System - Little Caesars Pizza - Unit 34( No Plbg.)
33,34,328 Speedvale Ave E,14 004299 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 19, 2014","Aug 18, 2014",Interior Renovations. Unit 22 (Includes Plbg & HVAC) - Great Clips Hair Salon
34,35,328 Speedvale Ave E,15 005182 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 10, 2015","Aug 27, 2015",Interior Renovations -remove Demising Wall.-Unit 21A & 21B (Includes minor Plbg & no HVAC) -Good Health Mart
35,36,328 Speedvale Ave E,15 005516 000 00 SS,Sign Permit,Closed,"Jul 24, 2015","Feb 25, 2016",Building Sign - Good Health Mart
36,37,328 Speedvale Ave E,15 005684 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 08, 2015","Sep 25, 2015",Minor interior renovations. Includes Plumbing and HVAC - including ventless deep fryer installation.
37,38,328 Speedvale Ave E,16 005508 000 00 SS,Sign Permit,Closed,"Sep 02, 2016","Nov 12, 2017",Building Sign - Little Caesars
38,39,328 Speedvale Ave E,16 005833 000 00 SS,Sign Permit,Closed,"Sep 09, 2016","Nov 12, 2017",Building Sign - M & M
39,40,328 Speedvale Ave E,16 008128 000 00 SS,Sign Permit,Closed,"Nov 16, 2016","Nov 12, 2017",Building Sign - Guelph Family Dentistry
40,41,328 Speedvale Ave E,18 001014 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 28, 2018","Feb 19, 2020",Interior Renovations (Inc. HVAC & PLBG.) Unit 31A - Shawarma G Restaurant
41,42,328 Speedvale Ave E,19 005153 000 00 CC,Committee Of Adjustment - Consent,Closed,"Jul 02, 2021",Consent for long-term lease,
42,43,328 Speedvale Ave E,19 005786 000 00 SS,Sign Permit,Issued,"Jun 30, 2020",1 Building Sign - Guelph Family Dentistry,
43,44,328 Speedvale Ave E,20 002444 000 00 SS,Sign Permit,Issued,"Jun 30, 2020",1 Building Sign - Royal Gold Jewellery,
44,45,328 Speedvale Ave E,21 000938 000 00 CI,Property Inspection,Issued,"Feb 24, 2021",Liquor License Letter - 7-Eleven,
45,46,328 Speedvale Ave E,22 001010 000 00 SS,Sign Permit,Issued,"Mar 08, 2022",1 Building Sign - Massage Addict,
46,47,328 Speedvale Ave E,22 003317 000 00 CI,Property Inspection,Issued,"Jun 14, 2022",Liquor License Letter.,
47,48,328 Speedvale Ave E,22 003350 000 00 SS,Sign Permit,Issued,"Jun 28, 2022",1 Freestanding sign on existing foundation - face changes only- 7 Eleven,
0,1,328 Speedvale Ave E,87 026317 000 00 PT,Tenant Finishes - Building Permit,Closed,"Oct 02, 1987","May 08, 1996",Animal Hospital
1,2,328 Speedvale Ave E,89 031363 000 00 PT,Tenant Finishes - Building Permit,Closed,"Sep 01, 1989","Sep 03, 1997",Opus One
2,3,328 Speedvale Ave E,93 000294 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 12, 1993","Mar 26, 1996",Expand Into Next Unit -restaurant-unit 33 Part 34
3,4,328 Speedvale Ave E,95 000029 000 00 PT,Tenant Finishes - Building Permit,Closed,"Mar 06, 1995","Sep 03, 1997",Interior Alterations-expand Into Unit 33-opus One Music
4,5,328 Speedvale Ave E,96 033663 000 00 SS,Sign Permit,Closed,"Oct 07, 1996","Jan 07, 1997",2-non-illum. signs for 7 -Eleven
5,6,328 Speedvale Ave E,96 034699 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 30, 1996","Nov 14, 1996",Inter. Partitions for two small offices -Opus I
6,7,328 Speedvale Ave E,98 108405 000 00 PS,Special Categories - Building Permit,Closed,"Oct 13, 1998","Oct 01, 1999",Demising wall between Units 26 & 27 (includes plbg repairing hot water tank)
7,8,328 Speedvale Ave E,99 005997 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 02, 1999","Apr 05, 2002","Interior Renovations - Unit 31-33; Fashion MaxRemove partitions, t-bar ceiling, drywall/htg diffusers."
8,9,328 Speedvale Ave E,99 008738 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 26, 1999","Feb 21, 2000",Interior Renovations - Unit 30; Kelly's Ale House & Grill(includes plbg) no HVAC
9,10,328 Speedvale Ave E,99 011637 000 00 PH,Mechanical Permit,Closed,"Sep 09, 1999","Oct 18, 1999",HVAC System and Kitchen Exhaust System
10,11,328 Speedvale Ave E,03 053116 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 05, 2003","Mar 03, 2003","Renovation to install new entrance door & relocated cooler (Minor Plumbing, Minor HVAC)(Unit 26 - 328 Speedvale Ave. E.) Ray's Flowers"
11,12,328 Speedvale Ave E,04 067646 000 00 PR,ICI Renovation - Building Permit,Closed,"May 10, 2004","Oct 26, 2004","Interior Renovations (No HVAC, No Plumbing).Unit #23 - 328 Speedvale East - Music School."
12,13,328 Speedvale Ave E,05 077579 000 00 PR,ICI Renovation - Building Permit,Closed,"May 03, 2005","Jun 01, 2005","Interior renovations, minor plumbing & HVAC  (Unit 21-328 Speedvale E) Medicine Shoppe"
13,14,328 Speedvale Ave E,07 004134 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 03, 2007","Apr 02, 2008","Interior renovations-partition wall(storage room), minor plbg (No HVAC,) (Unit 30) What's in the Pantry"
14,15,328 Speedvale Ave E,08 009582 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 29, 2008","Mar 24, 2009","Interior Renovation (No HVAC, Minor plumbing)-328 Speedvale E-Unit 23- Nail Salon"
15,16,328 Speedvale Ave E,10 000320 000 00 PS,Special Categories - Building Permit,Closed,"Feb 10, 2010","Mar 12, 2010",Construct Demising Wall Between Units 30 & 30A.
16,17,328 Speedvale Ave E,10 000348 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 16, 2010","Apr 08, 2010",Interior Renovations ( Includes Plumbing & HVAC ) - Unit 30 - Baskin Robbins.( See Permit #10-000320 PS for Demising Wall )
17,18,328 Speedvale Ave E,10 001480 000 00 SS,Sign Permit,Closed,"Mar 18, 2010","Jun 22, 2010",Building sign for Baskin Robbins (Unit 30)
18,19,328 Speedvale Ave E,10 004968 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 12, 2010","Nov 03, 2010","Interior Renovations (Includes HVAC, Plbg.) -Hibachi Sushi (Unit 28)"
19,20,328 Speedvale Ave E,10 006599 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 22, 2010","Dec 07, 2010","Interior Renovations ( Minor Plbg.) -UPS Store (Unit 31A)- New demising wall, w/r partition wall, new ceiling"
20,21,328 Speedvale Ave E,10 007901 000 00 PH,Mechanical Permit,Closed,"Dec 13, 2010","Feb 13, 2012","2 Backflow Devices (2- DCVA -Unit 21-Baskin Robbins, Unit 28-Hibachi Sushi"
21,22,328 Speedvale Ave E,10 007928 000 00 PH,Mechanical Permit,Closed,"Dec 01, 2010","Feb 15, 2011",New HVAC System-UPS Store (Unit 31A)
22,23,328 Speedvale Ave E,10 008120 000 00 SS,Sign Permit,Closed,"Dec 14, 2010","Mar 14, 2011",Building signs for UPS Store
23,24,328 Speedvale Ave E,11 000059 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 18, 2011","Mar 15, 2011","Interior Renovations ( No Plbg., No HVAC) -UPS Store (Unit 31A)(Demising Wall & Plbg see #10-6599,    HVAC see #10-7928)"
24,25,328 Speedvale Ave E,11 001120 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 24, 2011","Dec 02, 2011",Interior renovations (Includes Plbg & HVAC) Unit 31 -Wing's Up
25,26,328 Speedvale Ave E,11 003389 000 00 SS,Sign Permit,Closed,"Jun 17, 2011","Sep 13, 2011",Building Sign for Ray's Flowers
26,27,328 Speedvale Ave E,11 004250 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 17, 2011","Jan 19, 2012",Interior renovations expand into Unit 26 (Includes Plbg & HVAC) - Cornell Animal Hospital (Unit 24)
27,28,328 Speedvale Ave E,11 005364 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 22, 2011","Oct 21, 2011","Interior Renovations -new Demising Wall, new B/F washrooms -Unit 21A & 21B (Includes Plbg & HVAC) -New Tenant space/Administration Office"
28,29,328 Speedvale Ave E,11 007633 000 00 PH,Mechanical Permit,Closed,"Oct 07, 2011","Oct 14, 2011",New HVAC System - Unit 21A (vacant)
29,30,328 Speedvale Ave E,12 006063 000 00 CI,Property Inspection,Closed,"May 28, 2012","Jun 29, 2012",investigate car damage to store front - Unit 34
30,31,328 Speedvale Ave E,12 006594 000 00 PH,Mechanical Permit,Closed,"Jun 11, 2012","Jun 25, 2012",1 Backflow Prevention Device - DCVA for ice machine - Baskin Robbins (Unit 30A)
31,32,328 Speedvale Ave E,14 002582 000 00 SS,Sign Permit,Closed,"Apr 22, 2014","Feb 25, 2016",Building Sign for Great Clips
32,33,328 Speedvale Ave E,14 003460 000 00 PH,Mechanical Permit,Closed,"Jun 03, 2014","Nov 07, 2014",Kitchen Exhaust System - Little Caesars Pizza - Unit 34( No Plbg.)
33,34,328 Speedvale Ave E,14 004299 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 19, 2014","Aug 18, 2014",Interior Renovations. Unit 22 (Includes Plbg & HVAC) - Great Clips Hair Salon
34,35,328 Speedvale Ave E,15 005182 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 10, 2015","Aug 27, 2015",Interior Renovations -remove Demising Wall.-Unit 21A & 21B (Includes minor Plbg & no HVAC) -Good Health Mart
35,36,328 Speedvale Ave E,15 005516 000 00 SS,Sign Permit,Closed,"Jul 24, 2015","Feb 25, 2016",Building Sign - Good Health Mart
36,37,328 Speedvale Ave E,15 005684 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 08, 2015","Sep 25, 2015",Minor interior renovations. Includes Plumbing and HVAC - including ventless deep fryer installation.
37,38,328 Speedvale Ave E,16 005508 000 00 SS,Sign Permit,Closed,"Sep 02, 2016","Nov 12, 2017",Building Sign - Little Caesars
38,39,328 Speedvale Ave E,16 005833 000 00 SS,Sign Permit,Closed,"Sep 09, 2016","Nov 12, 2017",Building Sign - M & M
39,40,328 Speedvale Ave E,16 008128 000 00 SS,Sign Permit,Closed,"Nov 16, 2016","Nov 12, 2017",Building Sign - Guelph Family Dentistry
40,41,328 Speedvale Ave E,18 001014 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 28, 2018","Feb 19, 2020",Interior Renovations (Inc. HVAC & PLBG.) Unit 31A - Shawarma G Restaurant
41,42,328 Speedvale Ave E,19 005153 000 00 CC,Committee Of Adjustment - Consent,Closed,"Jul 02, 2021",Consent for long-term lease,
42,43,328 Speedvale Ave E,19 005786 000 00 SS,Sign Permit,Issued,"Jun 30, 2020",1 Building Sign - Guelph Family Dentistry,
43,44,328 Speedvale Ave E,20 002444 000 00 SS,Sign Permit,Issued,"Jun 30, 2020",1 Building Sign - Royal Gold Jewellery,
44,45,328 Speedvale Ave E,21 000938 000 00 CI,Property Inspection,Issued,"Feb 24, 2021",Liquor License Letter - 7-Eleven,
45,46,328 Speedvale Ave E,22 001010 000 00 SS,Sign Permit,Issued,"Mar 08, 2022",1 Building Sign - Massage Addict,
46,47,328 Speedvale Ave E,22 003317 000 00 CI,Property Inspection,Issued,"Jun 14, 2022",Liquor License Letter.,
47,48,328 Speedvale Ave E,22 003350 000 00 SS,Sign Permit,Issued,"Jun 28, 2022",1 Freestanding sign on existing foundation - face changes only- 7 Eleven,
0,1,570 Kortright Rd W,92 001040 000 00 PT,Tenant Finishes - Building Permit,Closed,"Jul 14, 1992","Jan 16, 2003","Interior Alterations To Units 4,5,6"
1,2,570 Kortright Rd W,98 100274 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 05, 1998","Feb 20, 1998",5' High Partition Wall & new double laundry sink & Hand sink - Unit 2C & M Cakes Ltd.
2,3,570 Kortright Rd W,98 110559 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 26, 1998","Mar 03, 1999",Inter. Renov. (includes Plbg & Htg) Units 8&9Optometrist Office
3,4,570 Kortright Rd W,99 012624 000 00 PK,Backflow Devices - Building Permit,Closed,"Nov 01, 1999","Nov 02, 1999","EXISTING 2 backflow preventors, replace with high hazard type"
4,5,570 Kortright Rd W,01 029123 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 02, 2001","Mar 05, 2001",Minor alterations -new demising wall (split unit into 2 units) & install new washroom in unit #3 (Includes plbg).
5,6,570 Kortright Rd W,01 030138 000 00 SS,Sign Permit,Closed,"Mar 05, 2001","May 17, 2001",Building sign for State Farm Insurance
6,7,570 Kortright Rd W,01 032573 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 07, 2001","Sep 27, 2001","Interior Renovations - Units 10 & 11. (Includes Plumbing, No HVAC).Kortright Pharmacy"
7,8,570 Kortright Rd W,01 033458 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 14, 2001","Sep 11, 2001","Minor Alterations to Unit 16 (Interior Partitions & New Sinks). Includes Plumbing, NO HVAC. Plumbing contractor changed as per Ben DiRenzo (cf)"
8,9,570 Kortright Rd W,03 064041 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 05, 2004","May 25, 2004","Relocate Interior Partitions & Doors (Includes Minor Plumbing, No HVAC).Dentist Office - Units #14 & #15."
9,10,570 Kortright Rd W,06 003123 000 00 PK,Backflow Devices - Building Permit,Closed,"Apr 25, 2006","Nov 19, 2006","1 Backflow Prevention device  2"" DCVA"
10,11,570 Kortright Rd W,09 000078 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 14, 2009","Apr 22, 2009",Interior renovations-expand Unit 1 into Unit 2 (includes Minor Plbg & Minor HVAC)-Dr. Allen Neff Hearing Clinic
11,12,570 Kortright Rd W,09 002493 000 00 CL,Complaint By-Law,Closed,"May 15, 2009","Jun 23, 2009","Mobile sign, no permit"
12,13,570 Kortright Rd W,10 006889 000 00 CL,Complaint By-Law,Closed,"Oct 06, 2010","Oct 07, 2010","Guard Pharmacy mobile sign, no permit"
13,14,570 Kortright Rd W,11 003056 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 29, 2011","Sep 30, 2011",Expand dentist office into adjacent unit  (Includes Minor Plbg and minor HVAC)
14,15,570 Kortright Rd W,12 013486 000 00 CA,Committee of Adjustment,Closed,"Dec 05, 2012",Approved - Permitted use variance to permit Goodwill depot,
15,16,570 Kortright Rd W,16 001378 000 00 SS,Sign Permit,Closed,"Mar 11, 2016","Nov 02, 2017",Building Sign - Ironwood Dental
16,17,570 Kortright Rd W,17 004751 000 00 CL,Complaint By-Law,Closed,"Jul 14, 2017","Jul 25, 2017",possible portable sign no permit
17,18,570 Kortright Rd W,17 004763 000 00 CL,Complaint By-Law,Closed,"Jul 14, 2017","Jul 25, 2017",possible portable sign no permit - Super 7 Mini Mart
18,19,570 Kortright Rd W,17 004764 000 00 CL,Complaint By-Law,Closed,"Jul 14, 2017","Jul 25, 2017",possible portable sign no permit - Goodwill
19,20,570 Kortright Rd W,17 005451 000 00 CL,Complaint By-Law,Closed,"Aug 09, 2017","Aug 10, 2017",possible mobile sign no permit
20,21,570 Kortright Rd W,17 006993 000 00 PS,Special Categories - Building Permit,Closed,"Nov 01, 2017","Aug 09, 2018",Demising wall construction (Unit 5 & 6)
21,22,570 Kortright Rd W,17 007000 000 00 SM,Temporary Sign Permit,Closed,"Mar 20, 2018","Mar 17, 2020",Connect Hearing - 2018
22,23,570 Kortright Rd W,17 007166 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 17, 2017","Jan 16, 2018",Interior Alterations for new tenant (includes Plumbing & HVAC) - Unit 5
23,24,570 Kortright Rd W,17 007488 000 03 PR,ICI Renovation - Building Permit,Closed,"Dec 20, 2017","Mar 30, 2021",Interior Alterations for new tenant (Minor Plumbing) - Unit 6Rev 1 - Include HVAC; Rev 2 - Change from Dental Lab (F2) to Dental Clinic (D); Rev 3 - Revise HVAC
24,25,570 Kortright Rd W,18 000307 000 00 CL,Complaint By-Law,Closed,"Jan 22, 2018","Feb 28, 2018",possible portable sign - no permit - Super 7 Mini Mart
25,26,570 Kortright Rd W,18 000616 000 00 SS,Sign Permit,Closed,"Feb 27, 2018","Mar 30, 2022",3 Building Signs - Connect Hearing
26,27,570 Kortright Rd W,18 000879 000 00 CL,Complaint By-Law,Closed,"Feb 14, 2018","Mar 20, 2018",possible portable sign no permit - Connect Hearing
27,28,570 Kortright Rd W,18 001076 000 00 SM,Temporary Sign Permit,Closed,"Feb 28, 2018","Mar 17, 2020",2018 Portable Sign Permit - Super 7 Mini Mart
28,29,570 Kortright Rd W,18 001429 000 00 CL,Complaint By-Law,Closed,"Mar 09, 2018","Apr 24, 2018",possible flashing sign - The Wine Ladies
29,30,570 Kortright Rd W,19 007399 000 00 PR,ICI Renovation - Building Permit,Closed,"Dec 11, 2019","Sep 15, 2021","Interior Renovations (Incl. HVAC/PLG) - Take-Out Italian Food Restaurant.Amendment April 24th, 2020"
30,31,570 Kortright Rd W,21 000903 000 00 CI,Property Inspection,Closed,"Feb 23, 2021","Mar 30, 2021",possible work carried out without required building permit
31,32,570 Kortright Rd W,21 001187 000 00 PH,Mechanical Permit,Closed,"Mar 25, 2021","Mar 30, 2021",Rooftop Mechanical Units
32,33,570 Kortright Rd W,21 006046 000 00 SM,Temporary Sign Permit,Closed,"Oct 07, 2021","Nov 23, 2021",October 12 2021 to November 10 2021. Why Not? Italian Food Inc.
33,34,570 Kortright Rd W,21 006562 000 00 SM,Temporary Sign Permit,Closed,"Nov 05, 2021","Dec 24, 2021",November 11 2021 to December 10 2021. Why Not? Italian Food Inc.
34,35,570 Kortright Rd W,21 006563 000 00 SM,Temporary Sign Permit,Closed,"Nov 05, 2021","Jan 12, 2022",December 11 2021 to January 9 2022. Why Not? Italian Food Inc.
35,36,570 Kortright Rd W,21 006898 000 00 SM,Temporary Sign Permit,Closed,"Dec 02, 2021","Jan 12, 2022",December 2 2021 to December 31 2021. Connect Hearing
36,37,570 Kortright Rd W,21 007120 000 00 SM,Temporary Sign Permit,Closed,"Dec 07, 2021","Jan 24, 2022",December 10 2021 to January 8 2022. Edward Jones Financial for Trees for Tots
37,38,570 Kortright Rd W,22 001231 000 00 SM,Temporary Sign Permit,Closed,"Mar 16, 2022","Apr 19, 2022",March 16 2022 to April 14 2022. Goodwill Industries
38,39,570 Kortright Rd W,22 001731 000 00 SM,Temporary Sign Permit,Closed,"Apr 13, 2022","May 24, 2022",April 15 2022 to May 14 2022. Goodwill Industries
39,40,570 Kortright Rd W,22 002353 000 00 SM,Temporary Sign Permit,Closed,"May 13, 2022","Jun 24, 2022",May 15 2022 to June 13 2022. Goodwill
